2022-03-04 22:46:11,308 DEBUG    decos.py Была вызвана функция process_client_message c параметрами ({'action': 'message', 'time': 1646408602.177067, 'account_name': 'Guest', 'mess_text': 'qewtrqewt'}, [('Guest', 'qewtrqewt')], <socket.socket fd=2540, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59388)>), {}.Вызов из модуля __main__.
2022-03-04 22:46:11,308 INFO     server.py Пробуем отправить сообщение {'action': 'message', 'sender': 'Guest', 'time': datetime.time(0, 0), 'mess_text': 'qewtrqewt'} Клиенту ('127.0.0.1', 59351) 
2022-03-04 22:47:06,595 INFO     server.py Клиент ('127.0.0.1', 59351) отключился от сервера.
2022-03-04 22:50:20,270 INFO     server.py Пробуем отправить сообщение {'action': 'message', 'sender': 'Guest', 'time': datetime.time(0, 0), 'mess_text': 'qewtrqewt'} Клиенту ('127.0.0.1', 59388) 
2022-03-04 22:51:48,509 INFO     server.py Клиент ('127.0.0.1', 59388) отключился от сервера.
2022-03-04 22:52:58,555 DEBUG    decos.py Была вызвана функция command_line_def c параметрами (), {}.Вызов из модуля __main__.
2022-03-04 22:52:58,557 DEBUG    decos.py Была вызвана функция create_precense c параметрами (), {}.Вызов из модуля __main__.
2022-03-04 22:52:58,557 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=148, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59510), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1646409178.5578074, 'Guest': {'account_name': 'Guest'}}), {}.Вызов из модуля common.utils.
2022-03-04 22:55:06,746 INFO     server.py Подключен клинет с адреса 127.0.0.1 и потра 59510
2022-03-04 22:55:49,107 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=3448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59510)>,), {}.Вызов из модуля common.utils.
2022-03-04 22:56:20,141 DEBUG    server.py Разбор сообщения от клиента : <socket.socket fd=3448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59510)> {'action': 'presence', 'time': 1646409178.5578074, 'Guest': {'account_name': 'Guest'}}
2022-03-04 22:56:20,141 DEBUG    server.py Сообщение корректное {RESPONSE: 200}
2022-03-04 22:56:28,337 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=148, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59510), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.
2022-03-04 22:56:28,338 DEBUG    decos.py Была вызвана функция process_ans c параметрами ({'response': 200},), {}.Вызов из модуля __main__.
2022-03-04 22:56:35,006 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=3448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59510)>, {'response': 200}), {}.Вызов из модуля common.utils.
2022-03-04 22:56:58,428 DEBUG    decos.py Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1646409178.5578074, 'Guest': {'account_name': 'Guest'}}, [], <socket.socket fd=3448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59510)>), {}.Вызов из модуля __main__.
2022-03-04 22:57:13,471 INFO     server.py Подключен клинет с адреса 127.0.0.1 и потра 59511
2022-03-04 22:57:16,324 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=600, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59511)>,), {}.Вызов из модуля common.utils.
2022-03-04 22:57:16,622 DEBUG    server.py Разбор сообщения от клиента : <socket.socket fd=600, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59511)> {'action': 'presence', 'time': 1646409182.5066922, 'Guest': {'account_name': 'Guest'}}
2022-03-04 22:57:16,623 DEBUG    server.py Сообщение корректное {RESPONSE: 200}
2022-03-04 22:57:19,699 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=600, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59511)>, {'response': 200}), {}.Вызов из модуля common.utils.
2022-03-04 22:57:21,547 DEBUG    decos.py Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1646409182.5066922, 'Guest': {'account_name': 'Guest'}}, [], <socket.socket fd=600, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59511)>), {}.Вызов из модуля __main__.
2022-03-04 23:00:01,166 DEBUG    decos.py Была вызвана функция create_message c параметрами (<socket.socket fd=148, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59510), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля __main__.
2022-03-04 23:00:01,166 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=148, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59510), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'time': 1646409601.1659932, 'account_name': 'Guest', 'mess_text': 'фыавфыа'}), {}.Вызов из модуля common.utils.
2022-03-04 23:01:23,466 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=3448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59510)>,), {}.Вызов из модуля common.utils.
2022-03-04 23:04:20,031 DEBUG    server.py Разбор сообщения от клиента : <socket.socket fd=3448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59510)> {'action': 'message', 'time': 1646409601.1659932, 'account_name': 'Guest', 'mess_text': 'фыавфыа'}
2022-03-04 23:04:20,032 DEBUG    server.py Сообщение !фыавфыа! для <socket.socket fd=3448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59510)> добавлено в список сообщений 
2022-03-04 23:04:20,033 DEBUG    decos.py Была вызвана функция process_client_message c параметрами ({'action': 'message', 'time': 1646409601.1659932, 'account_name': 'Guest', 'mess_text': 'фыавфыа'}, [('Guest', 'фыавфыа')], <socket.socket fd=3448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59510)>), {}.Вызов из модуля __main__.
2022-03-04 23:04:20,033 INFO     server.py Пробуем отправить сообщение {'action': 'message', 'sender': 'Guest', 'time': datetime.time(0, 0), 'mess_text': 'фыавфыа'} Клиенту ('127.0.0.1', 59510) 
2022-03-04 23:05:33,605 DEBUG    server.py Разбираем коммандную строку : ['C:/Users/Юрий/Documents/GeekBrains/ClientServer/HW/Lesson_07/server.py']
2022-03-04 23:05:33,605 INFO     server.py Запущен сервер, порт для подключений: 7777, 
2022-03-04 23:05:33,606 DEBUG    decos.py Была вызвана функция port_define c параметрами (), {}.Вызов из модуля __main__.
2022-03-04 23:05:33,606 INFO     server.py Запущен сервер, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов.
2022-03-04 23:05:33,606 DEBUG    decos.py Была вызвана функция addres_define c параметрами (), {}.Вызов из модуля __main__.
2022-03-04 23:05:33,608 INFO     server.py Сервер запущен на IP адресе  и 7777 порту
2022-03-04 23:05:46,295 INFO     server.py Подключен клинет с адреса 127.0.0.1 и потра 59648
2022-03-04 23:06:18,508 DEBUG    decos.py Была вызвана функция command_line_def c параметрами (), {}.Вызов из модуля __main__.
2022-03-04 23:06:18,510 DEBUG    decos.py Была вызвана функция create_precense c параметрами (), {}.Вызов из модуля __main__.
2022-03-04 23:06:18,511 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=440, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59649), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1646409978.510439, 'Guest': {'account_name': 'Guest'}}), {}.Вызов из модуля common.utils.
2022-03-04 23:10:02,181 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=712, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59648)>,), {}.Вызов из модуля common.utils.
2022-03-04 23:10:10,686 DEBUG    server.py Разбор сообщения от клиента : <socket.socket fd=712, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59648)> {'action': 'presence', 'time': 1646409946.295685, 'Guest': {'account_name': 'Guest'}}
2022-03-04 23:10:10,686 DEBUG    server.py Сообщение корректное {RESPONSE: 200}
2022-03-04 23:11:26,423 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=712, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59648)>, {'response': 200}), {}.Вызов из модуля common.utils.
2022-03-04 23:11:33,365 DEBUG    decos.py Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1646409946.295685, 'Guest': {'account_name': 'Guest'}}, [], <socket.socket fd=712, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59648)>), {}.Вызов из модуля __main__.
2022-03-04 23:11:53,565 INFO     server.py Подключен клинет с адреса 127.0.0.1 и потра 59649
2022-03-04 23:12:47,060 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=724, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59649)>,), {}.Вызов из модуля common.utils.
2022-03-04 23:12:48,754 DEBUG    server.py Разбор сообщения от клиента : <socket.socket fd=724, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59649)> {'action': 'presence', 'time': 1646409978.510439, 'Guest': {'account_name': 'Guest'}}
2022-03-04 23:12:48,755 DEBUG    server.py Сообщение корректное {RESPONSE: 200}
2022-03-04 23:12:54,933 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=440, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59649), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.
2022-03-04 23:12:54,934 DEBUG    decos.py Была вызвана функция process_ans c параметрами ({'response': 200},), {}.Вызов из модуля __main__.
2022-03-04 23:12:57,150 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=724, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59649)>, {'response': 200}), {}.Вызов из модуля common.utils.
2022-03-04 23:13:03,237 DEBUG    decos.py Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1646409978.510439, 'Guest': {'account_name': 'Guest'}}, [], <socket.socket fd=724, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59649)>), {}.Вызов из модуля __main__.
2022-03-04 23:13:49,695 DEBUG    decos.py Была вызвана функция create_message c параметрами (<socket.socket fd=440, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59649), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля __main__.
2022-03-04 23:13:49,695 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=440, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59649), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'time': 1646410429.6943963, 'account_name': 'Guest', 'mess_text': 'ынкенцкн'}), {}.Вызов из модуля common.utils.
2022-03-04 23:15:08,497 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=724, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59649)>,), {}.Вызов из модуля common.utils.
2022-03-04 23:17:45,261 DEBUG    server.py Разбор сообщения от клиента : <socket.socket fd=724, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59649)> {'action': 'message', 'time': 1646410429.6943963, 'account_name': 'Guest', 'mess_text': 'ынкенцкн'}
2022-03-04 23:17:45,262 DEBUG    server.py Сообщение !ынкенцкн! для <socket.socket fd=724, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59649)> добавлено в список сообщений 
2022-03-04 23:17:45,263 DEBUG    decos.py Была вызвана функция process_client_message c параметрами ({'action': 'message', 'time': 1646410429.6943963, 'account_name': 'Guest', 'mess_text': 'ынкенцкн'}, [('Guest', 'ынкенцкн')], <socket.socket fd=724, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59649)>), {}.Вызов из модуля __main__.
2022-03-04 23:17:45,264 INFO     server.py Пробуем отправить сообщение {'action': 'message', 'sender': 'Guest', 'time': datetime.time(0, 0), 'mess_text': 'ынкенцкн'} Клиенту ('127.0.0.1', 59648) 
2022-03-04 23:18:03,697 INFO     server.py Клиент ('127.0.0.1', 59648) отключился от сервера.
2022-03-04 23:19:43,040 INFO     server.py Пробуем отправить сообщение {'action': 'message', 'sender': 'Guest', 'time': datetime.time(0, 0), 'mess_text': 'ынкенцкн'} Клиенту ('127.0.0.1', 59649) 
